,model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
40,alpha_1.5_temp_0.5,1.5,0.5,42,4000,0.97969913,1.5431361,1,1.736788268,0.844008788,0.396629055,0.437360879
41,alpha_1.5_temp_0.5,1.5,0.5,42,4100,0.969468,1.5439147,1,1.72246093,0.843945722,0.39564813,0.439041503
42,alpha_1.5_temp_0.5,1.5,0.5,42,4200,0.95905155,1.5614922,1,1.703188678,0.845755258,0.389962555,0.433637046
43,alpha_1.5_temp_0.5,1.5,0.5,42,4300,0.95114625,1.5648428,1,1.717674783,0.842934258,0.392029354,0.432343589
44,alpha_1.5_temp_0.5,1.5,0.5,42,4400,0.94002676,1.5705789,1,1.73416345,0.843554152,0.400963705,0.43770639
45,alpha_1.5_temp_0.5,1.5,0.5,42,4500,0.9327295,1.582909,1,1.714133292,0.843960274,0.391242367,0.428204175
46,alpha_1.5_temp_0.5,1.5,0.5,42,4600,0.92128336,1.5846206,1,1.710746161,0.843921102,0.392292264,0.431804097
47,alpha_1.5_temp_0.5,1.5,0.5,42,4700,0.9117441,1.5914226,1,1.722197938,0.842110536,0.396004832,0.432182319
48,alpha_1.5_temp_0.5,1.5,0.5,42,4800,0.90272695,1.5968164,1,1.699775654,0.843554152,0.389606643,0.431623143
49,alpha_1.5_temp_0.5,1.5,0.5,42,4900,0.8927947,1.598636,1,1.696291295,0.843233366,0.388854626,0.424490674
50,alpha_1.5_temp_0.5,1.5,0.5,42,4999,0.8831895,1.6101326,1,1.71084774717656000,0.84406964974105300,0.38979535672002600,0.42965432582298900
0,alpha_1.5_temp_0.5,1.5,0.5,43,0,4.3461347,4.346744,1,1.274843084,0.640193809,0.168990623,0.356904308
1,alpha_1.5_temp_0.5,1.5,0.5,43,100,2.4385824,2.4595509,1,1.698862144,0.890515614,0.422440659,0.579947563
2,alpha_1.5_temp_0.5,1.5,0.5,43,200,2.2115586,2.2467227,1,1.722443137,0.878003456,0.423760687,0.555983257
3,alpha_1.5_temp_0.5,1.5,0.5,43,300,1.9733747,2.0628974,1,1.670783587,0.880084969,0.416337711,0.548295825
4,alpha_1.5_temp_0.5,1.5,0.5,43,400,1.7635282,1.9122549,1,1.721819775,0.880833078,0.421669671,0.540551403
5,alpha_1.5_temp_0.5,1.5,0.5,43,500,1.632097,1.8105009,1,1.695561524,0.875883029,0.417400531,0.535884847
6,alpha_1.5_temp_0.5,1.5,0.5,43,600,1.5444202,1.7318074,1,1.73670178,0.8746062,0.427510264,0.535135748
7,alpha_1.5_temp_0.5,1.5,0.5,43,700,1.4820184,1.672522,1,1.736671915,0.871922221,0.425749981,0.535110261
8,alpha_1.5_temp_0.5,1.5,0.5,43,800,1.4344012,1.6400398,1,1.769187012,0.869221618,0.432744037,0.535095831
9,alpha_1.5_temp_0.5,1.5,0.5,43,900,1.3957934,1.6029414,1,1.760871938,0.867806484,0.430708216,0.532878254
10,alpha_1.5_temp_0.5,1.5,0.5,43,1000,1.3610275,1.5809405,1,1.762497363,0.863652467,0.43623113,0.531866238
11,alpha_1.5_temp_0.5,1.5,0.5,43,1100,1.3347173,1.5580503,1,1.739729208,0.860802804,0.433021769,0.521781335
12,alpha_1.5_temp_0.5,1.5,0.5,43,1200,1.3127397,1.5541753,1,1.756383865,0.861247209,0.434084696,0.529881685
