Column1,model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
0,alpha_1.0_temp_0.5,1,0.5,42,0,4.257106,4.258018,1,1,0.406518757,0,0.182061609
1,alpha_1.0_temp_0.5,1,0.5,42,100,2.444677,2.459743,1,1,0.660228825,0,0.37897399
2,alpha_1.0_temp_0.5,1,0.5,42,200,2.224925,2.261727,1,1,0.648355715,0,0.345701766
3,alpha_1.0_temp_0.5,1,0.5,42,300,1.957563,2.043868,1,1,0.680729473,0,0.325972352
4,alpha_1.0_temp_0.5,1,0.5,42,400,1.746675,1.889756,1,1,0.699386609,0,0.317976369
5,alpha_1.0_temp_0.5,1,0.5,42,500,1.610052,1.790936,1,1,0.714179115,0,0.303717
6,alpha_1.0_temp_0.5,1,0.5,42,600,1.524574,1.713983,1,1,0.719098965,0,0.300418405
7,alpha_1.0_temp_0.5,1,0.5,42,700,1.463543,1.658577,1,1,0.721191298,0,0.2947137
8,alpha_1.0_temp_0.5,1,0.5,42,800,1.414078,1.612687,1,1,0.725308699,0,0.305486908
9,alpha_1.0_temp_0.5,1,0.5,42,900,1.377824,1.59099,1,1,0.724587186,0,0.29387572
10,alpha_1.0_temp_0.5,1,0.5,42,1000,1.349767,1.569734,1,1,0.726335599,0,0.296077691
11,alpha_1.0_temp_0.5,1,0.5,42,1100,1.318842,1.54825,1,1,0.729502485,0,0.28871358
12,alpha_1.0_temp_0.5,1,0.5,42,1200,1.295009,1.522966,1,1,0.727111945,0,0.288134617
13,alpha_1.0_temp_0.5,1,0.5,42,1300,1.273827,1.516581,1,1,0.730187,0,0.285485451
14,alpha_1.0_temp_0.5,1,0.5,42,1400,1.257663,1.508113,1,1.00000002,0.732801864,5.38E-08,0.298669682
15,alpha_1.0_temp_0.5,1,0.5,42,1500,1.241398,1.499217,1,1,0.731209536,0,0.286453018
16,alpha_1.0_temp_0.5,1,0.5,42,1600,1.224697,1.497164,1,1.000000025,0.731879524,6.73E-08,0.290593884
17,alpha_1.0_temp_0.5,1,0.5,42,1700,1.213094,1.493212,1,1,0.730884614,0,0.287525048
18,alpha_1.0_temp_0.5,1,0.5,42,1800,1.19596,1.487014,1,1.00000001,0.731974226,2.69E-08,0.290924445
19,alpha_1.0_temp_0.5,1,0.5,42,1900,1.181197,1.487499,1,1.000000008,0.731394674,2.02E-08,0.287640324
20,alpha_1.0_temp_0.5,1,0.5,42,2000,1.171132,1.484081,1,1,0.730208521,0,0.279627218
21,alpha_1.0_temp_0.5,1,0.5,42,2100,1.156453,1.485172,1,1.000000005,0.729685947,1.35E-08,0.289603298
22,alpha_1.0_temp_0.5,1,0.5,42,2200,1.146551,1.486971,1,1.000000041,0.731430118,1.08E-07,0.287398819
23,alpha_1.0_temp_0.5,1,0.5,42,2300,1.133673,1.49033,1,1.00000001,0.729515722,2.69E-08,0.288544087
24,alpha_1.0_temp_0.5,1,0.5,42,2400,1.120476,1.485586,1,1,0.729566505,0,0.292978859
25,alpha_1.0_temp_0.5,1,0.5,42,2500,1.112748,1.488835,1,1.000000008,0.730274141,2.02E-08,0.29216491
26,alpha_1.0_temp_0.5,1,0.5,42,2600,1.100659,1.483727,1,1,0.72893698,0,0.289402703
27,alpha_1.0_temp_0.5,1,0.5,42,2700,1.08746,1.495849,1,1.000000005,0.728698127,1.35E-08,0.290964131
28,alpha_1.0_temp_0.5,1,0.5,42,2800,1.076719,1.496041,1,1,0.728077,0,0.286922579
29,alpha_1.0_temp_0.5,1,0.5,42,2900,1.065308,1.506998,1,1.000000193,0.728857727,5.07E-07,0.286290001
30,alpha_1.0_temp_0.5,1,0.5,42,3000,1.05289,1.507284,1,1.000000008,0.728772537,2.02E-08,0.288475246
31,alpha_1.0_temp_0.5,1,0.5,42,3100,1.041606,1.510597,1,1.000000117,0.729777,3.10E-07,0.289964916
32,alpha_1.0_temp_0.5,1,0.5,42,3200,1.0329,1.515571,1,1.000000048,0.728349649,1.28E-07,0.28487883
33,alpha_1.0_temp_0.5,1,0.5,42,3300,1.020644,1.518543,1,1.00000016,0.727005003,4.24E-07,0.292450673
34,alpha_1.0_temp_0.5,1,0.5,42,3400,1.011849,1.529189,1,1.000000163,0.727620643,4.26E-07,0.285306284
35,alpha_1.0_temp_0.5,1,0.5,42,3500,0.997004,1.531845,1,1.000000125,0.726518,3.30E-07,0.29109635
36,alpha_1.0_temp_0.5,1,0.5,42,3600,0.987193,1.537164,1,1.000000051,0.726934688,1.35E-07,0.289521785
37,alpha_1.0_temp_0.5,1,0.5,42,3700,0.977483,1.549604,1,1.000000201,0.72623587,5.08E-07,0.280889
38,alpha_1.0_temp_0.5,1,0.5,42,3800,0.968164,1.55041,1,1.000001404,0.726295433,3.70E-06,0.284660815
39,alpha_1.0_temp_0.5,1,0.5,42,3900,0.957268,1.552776,1,1.000000829,0.726221679,2.05E-06,0.279109696
40,alpha_1.0_temp_0.5,1,0.5,42,4000,0.945562,1.564218,1,1.000000837,0.726206026,2.14E-06,0.28656734
41,alpha_1.0_temp_0.5,1,0.5,42,4100,0.935438,1.568611,1,1.00000027,0.723575248,6.93E-07,0.280958
42,alpha_1.0_temp_0.5,1,0.5,42,4200,0.925001,1.578679,1,1.000000315,0.724101079,8.14E-07,0.277034854
43,alpha_1.0_temp_0.5,1,0.5,42,4300,0.914639,1.584606,1,1.000000519,0.722970639,1.29E-06,0.276300705
44,alpha_1.0_temp_0.5,1,0.5,42,4400,0.901881,1.600648,1,1.000000313,0.722304618,8.17E-07,0.273168628
45,alpha_1.0_temp_0.5,1,0.5,42,4500,0.892656,1.608372,1,1.000002022,0.722348253,5.31E-06,0.279133643
46,alpha_1.0_temp_0.5,1,0.5,42,4600,0.883499,1.617323,1,1.000000483,0.721706901,1.25E-06,0.277631384
47,alpha_1.0_temp_0.5,1,0.5,42,4700,0.870761,1.629894,1,1.000000351,0.721818585,8.95E-07,0.269285388
48,alpha_1.0_temp_0.5,1,0.5,42,4800,0.862727,1.6287,1,1.000000771,0.722396,1.90E-06,0.273728404
49,alpha_1.0_temp_0.5,1,0.5,42,4900,0.850421,1.638804,1,1.000000315,0.721207,8.19E-07,0.269010796
50,alpha_1.0_temp_0.5,1,0.5,42,4999,0.842167,1.652849,1,1.000000738,0.721859,1.88E-06,0.278111137
51,alpha_1.0_temp_0.5,1,0.5,43,0,4.349389,4.349804,1,1,0.411248731,0,0.230257572
52,alpha_1.0_temp_0.5,1,0.5,43,100,2.440235,2.464786,1,1,0.696686888,0,0.511124823
53,alpha_1.0_temp_0.5,1,0.5,43,200,2.217469,2.250186,1,1,0.675370325,0,0.471385247
54,alpha_1.0_temp_0.5,1,0.5,43,300,1.955346,2.043,1,1,0.696165908,0,0.471215752
55,alpha_1.0_temp_0.5,1,0.5,43,400,1.748549,1.901626,1,1,0.714599258,0,0.454916993
56,alpha_1.0_temp_0.5,1,0.5,43,500,1.617645,1.798355,1,1,0.72465886,0,0.453214534
57,alpha_1.0_temp_0.5,1,0.5,43,600,1.530565,1.716631,1,1,0.728451197,0,0.445335225
58,alpha_1.0_temp_0.5,1,0.5,43,700,1.470926,1.670847,1,1,0.727913186,0,0.428636002
