,model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
200,alpha_2.0_temp_0.5,2,0.5,42,4700,0.960259,1.5591134,1,2.120634647,0.894044036,0.606083277,0.624545678
201,alpha_2.0_temp_0.5,2,0.5,42,4800,0.95213544,1.5586194,1,2.120657754,0.893365249,0.609950473,0.617775892
202,alpha_2.0_temp_0.5,2,0.5,42,4900,0.9436901,1.5778974,1,2.112008989,0.894441329,0.607587405,0.625356114
203,alpha_2.0_temp_0.5,2,0.5,42,4999,0.93590313,1.5778606,1,2.11678872096650000,0.89222105300000000,0.60632691674431100,0.62532711135347600
51,alpha_2.0_temp_0.5,2,0.5,43,0,4.345129,4.3457837,1,1.479809002,0.761447266,0.275342728,0.390623758
52,alpha_2.0_temp_0.5,2,0.5,43,100,2.4451745,2.4666848,1,2.10247787,0.964948616,0.585681202,0.634986957
53,alpha_2.0_temp_0.5,2,0.5,43,200,2.229412,2.2611253,1,2.099195682,0.96271444,0.58660013,0.617760769
54,alpha_2.0_temp_0.5,2,0.5,43,300,1.9936299,2.0791006,0.999291667,2.15327778,0.961568208,0.609841352,0.615961134
55,alpha_2.0_temp_0.5,2,0.5,43,400,1.7824628,1.9249172,1,2.165310738,0.96476422,0.616750434,0.619425164
56,alpha_2.0_temp_0.5,2,0.5,43,500,1.6481507,1.821801,1,2.177557411,0.960729051,0.619357397,0.618719707
57,alpha_2.0_temp_0.5,2,0.5,43,600,1.557654,1.7347724,1,2.196866057,0.959317199,0.625755313,0.622455566
58,alpha_2.0_temp_0.5,2,0.5,43,700,1.4946014,1.680408,1,2.21262055,0.956132507,0.632610308,0.631312351
59,alpha_2.0_temp_0.5,2,0.5,43,800,1.4450686,1.6440259,1,2.218989696,0.955037032,0.633456416,0.636334746
60,alpha_2.0_temp_0.5,2,0.5,43,900,1.407539,1.6070874,1,2.234587368,0.952811836,0.639048106,0.64283355
61,alpha_2.0_temp_0.5,2,0.5,43,1000,1.3727047,1.5825751,1,2.235168691,0.94796073,0.639428798,0.652857081
62,alpha_2.0_temp_0.5,2,0.5,43,1100,1.3448181,1.5648249,1,2.234003626,0.94527916,0.643950539,0.656868175
63,alpha_2.0_temp_0.5,2,0.5,43,1200,1.3238742,1.5540117,1,2.220284686,0.94185743,0.638518222,0.653969838
64,alpha_2.0_temp_0.5,2,0.5,43,1300,1.3010348,1.539362,1,2.226896837,0.93984522,0.6418132,0.659955409
65,alpha_2.0_temp_0.5,2,0.5,43,1400,1.2862501,1.5263811,1,2.223768134,0.939038852,0.63831275,0.660144458
66,alpha_2.0_temp_0.5,2,0.5,43,1500,1.2634509,1.5214704,1,2.207888771,0.936656925,0.63981572,0.666748871
67,alpha_2.0_temp_0.5,2,0.5,43,1600,1.2533101,1.5178323,1,2.21218444,0.934997481,0.638887134,0.659336679
68,alpha_2.0_temp_0.5,2,0.5,43,1700,1.2382175,1.509135,1,2.208596926,0.933072566,0.641875708,0.662345265
69,alpha_2.0_temp_0.5,2,0.5,43,1800,1.2263252,1.5016865,1,2.205958688,0.929095001,0.643364098,0.666254083
70,alpha_2.0_temp_0.5,2,0.5,43,1900,1.2100556,1.4997883,1,2.231471277,0.927422848,0.653161154,0.675653523
71,alpha_2.0_temp_0.5,2,0.5,43,2000,1.1996899,1.5047963,1,2.238571435,0.923066063,0.653268905,0.673398637
72,alpha_2.0_temp_0.5,2,0.5,43,2100,1.1868038,1.49593,1,2.234886271,0.923507217,0.652994439,0.685059312
73,alpha_2.0_temp_0.5,2,0.5,43,2200,1.1754475,1.490791,1,2.245269869,0.923212479,0.659297989,0.688507758
74,alpha_2.0_temp_0.5,2,0.5,43,2300,1.1661987,1.492769,1,2.232802375,0.920336195,0.653433642,0.679925382
75,alpha_2.0_temp_0.5,2,0.5,43,2400,1.1563138,1.4941522,1,2.243041374,0.921609721,0.655875384,0.683694216
76,alpha_2.0_temp_0.5,2,0.5,43,2500,1.1448838,1.4906812,1,2.241974724,0.919563021,0.658119028,0.684147903
77,alpha_2.0_temp_0.5,2,0.5,43,2600,1.135645,1.4919869,1,2.245111807,0.919538719,0.657062093,0.689847365
78,alpha_2.0_temp_0.5,2,0.5,43,2700,1.1246,1.4977267,1,2.23092897,0.91930869,0.653847152,0.692898858
79,alpha_2.0_temp_0.5,2,0.5,43,2800,1.114302,1.4941863,1,2.238718862,0.918762295,0.656005997,0.688304156
80,alpha_2.0_temp_0.5,2,0.5,43,2900,1.106683,1.4955693,1,2.229545301,0.916030251,0.654923478,0.685345598
81,alpha_2.0_temp_0.5,2,0.5,43,3000,1.0968375,1.4998723,1,2.234990371,0.91521972,0.657429869,0.69269361
82,alpha_2.0_temp_0.5,2,0.5,43,3100,1.087823,1.5046247,1,2.244275186,0.915430066,0.662764672,0.696627967
83,alpha_2.0_temp_0.5,2,0.5,43,3200,1.0772417,1.5087633,1,2.236623701,0.913712406,0.653530335,0.690639387
84,alpha_2.0_temp_0.5,2,0.5,43,3300,1.0684726,1.5045935,1,2.235571634,0.912930919,0.655947878,0.700007351
85,alpha_2.0_temp_0.5,2,0.5,43,3400,1.0586053,1.5124667,1,2.244714644,0.913933702,0.66111214,0.699951445
86,alpha_2.0_temp_0.5,2,0.5,43,3500,1.0512844,1.5255493,1,2.236098846,0.912192005,0.656468248,0.698064227
87,alpha_2.0_temp_0.5,2,0.5,43,3600,1.0397599,1.5155813,1,2.230841442,0.911864636,0.654342647,0.693884618
88,alpha_2.0_temp_0.5,2,0.5,43,3700,1.0303032,1.5336083,1,2.235181999,0.910574073,0.658567118,0.697448538
89,alpha_2.0_temp_0.5,2,0.5,43,3800,1.0223061,1.533522,1,2.238506134,0.90956629,0.66114267,0.697149343
90,alpha_2.0_temp_0.5,2,0.5,43,3900,1.012267,1.5440406,1,2.223699162,0.909928958,0.652739014,0.696183904
91,alpha_2.0_temp_0.5,2,0.5,43,4000,1.0053072,1.5466421,1,2.221350639,0.908429184,0.653899461,0.695803001
92,alpha_2.0_temp_0.5,2,0.5,43,4100,0.99374133,1.542695,1,2.225183807,0.908790693,0.656402014,0.700997709
93,alpha_2.0_temp_0.5,2,0.5,43,4200,0.9852193,1.5490344,1,2.221365396,0.908266975,0.652568499,0.687684606
94,alpha_2.0_temp_0.5,2,0.5,43,4300,0.9776116,1.5513343,1,2.211770642,0.907417652,0.651868757,0.696450206
95,alpha_2.0_temp_0.5,2,0.5,43,4400,0.9700867,1.5597379,1,2.214314622,0.906152623,0.65103202,0.691609563
96,alpha_2.0_temp_0.5,2,0.5,43,4500,0.95819074,1.5680461,1,2.203278543,0.907595845,0.650006203,0.696334241
97,alpha_2.0_temp_0.5,2,0.5,43,4600,0.94873416,1.5707872,1,2.197518113,0.905200793,0.648802492,0.692617762
98,alpha_2.0_temp_0.5,2,0.5,43,4700,0.9393871,1.5805538,1,2.199837379,0.905522503,0.657281482,0.695415655
99,alpha_2.0_temp_0.5,2,0.5,43,4800,0.9365045,1.5832598,1,2.204897011,0.906570088,0.660936472,0.68816258
100,alpha_2.0_temp_0.5,2,0.5,43,4900,0.92313,1.5819652,1,2.199521692,0.903700983,0.660226907,0.695808959
101,alpha_2.0_temp_0.5,2,0.5,43,4999,0.9124905,1.5999358,1,2.188875962,0.901421799,0.657260954,0.695162264
0,alpha_2.0_temp_0.5,2,0.5,44,0,4.2911983,4.292268,1,1.522176807,0.749732974,0.263229302,0.362760763
1,alpha_2.0_temp_0.5,2,0.5,44,100,2.4420054,2.4599838,1,2.135408149,0.957828173,0.571689445,0.629455595
2,alpha_2.0_temp_0.5,2,0.5,44,200,2.211535,2.2485015,1,2.04801061,0.951016003,0.519784955,0.576488033
3,alpha_2.0_temp_0.5,2,0.5,44,300,1.975128,2.0608141,1,1.998309291,0.95966556,0.502291189,0.542817334
4,alpha_2.0_temp_0.5,2,0.5,44,400,1.7806777,1.907016,1,2.035751598,0.961218292,0.510134659,0.539804839
5,alpha_2.0_temp_0.5,2,0.5,44,500,1.6474502,1.8109362,1,2.042927104,0.958735218,0.509031293,0.533507458
6,alpha_2.0_temp_0.5,2,0.5,44,600,1.5615692,1.749131,1,2.061622602,0.956757731,0.517088395,0.538331036
7,alpha_2.0_temp_0.5,2,0.5,44,700,1.4944237,1.6855655,1,2.070970306,0.952974367,0.524961425,0.541179833
8,alpha_2.0_temp_0.5,2,0.5,44,800,1.4481342,1.647594,1,2.08106338,0.950669064,0.526810638,0.545046108
9,alpha_2.0_temp_0.5,2,0.5,44,900,1.4082385,1.6152425,1,2.09251523,0.946088185,0.528915882,0.552188778
10,alpha_2.0_temp_0.5,2,0.5,44,1000,1.376959,1.5869093,1,2.08865081,0.944555441,0.535021847,0.559600749
11,alpha_2.0_temp_0.5,2,0.5,44,1100,1.3540996,1.5702542,1,2.088218153,0.939002791,0.539816151,0.55792401
12,alpha_2.0_temp_0.5,2,0.5,44,1200,1.3312166,1.5651051,1,2.088694417,0.935493313,0.541798096,0.555735902
13,alpha_2.0_temp_0.5,2,0.5,44,1300,1.3112515,1.5495515,1,2.098157252,0.933590374,0.5418959,0.565587282
14,alpha_2.0_temp_0.5,2,0.5,44,1400,1.2918638,1.5331295,1,2.089151731,0.930121881,0.543966863,0.564473698
15,alpha_2.0_temp_0.5,2,0.5,44,1500,1.2767605,1.5233315,1,2.097308818,0.927526633,0.551529895,0.568894966
16,alpha_2.0_temp_0.5,2,0.5,44,1600,1.2622277,1.5273958,1,2.088654552,0.924049123,0.549009623,0.561903478
17,alpha_2.0_temp_0.5,2,0.5,44,1700,1.2475966,1.525625,1,2.107752889,0.921353355,0.558441917,0.577670654
18,alpha_2.0_temp_0.5,2,0.5,44,1800,1.2329099,1.5072991,1,2.106370681,0.916624953,0.554943961,0.563686317
19,alpha_2.0_temp_0.5,2,0.5,44,1900,1.223596,1.5084205,1,2.120664334,0.916909279,0.56402112,0.570590348
20,alpha_2.0_temp_0.5,2,0.5,44,2000,1.2094966,1.5085105,1,2.122490551,0.916388178,0.562682911,0.579545048
21,alpha_2.0_temp_0.5,2,0.5,44,2100,1.19971,1.499862,1,2.123890553,0.91447362,0.567858377,0.578694946
22,alpha_2.0_temp_0.5,2,0.5,44,2200,1.1902866,1.4970146,1,2.115852565,0.912731329,0.560059518,0.564314782
23,alpha_2.0_temp_0.5,2,0.5,44,2300,1.1801721,1.4951508,1,2.111520981,0.908717049,0.567259111,0.571360619
24,alpha_2.0_temp_0.5,2,0.5,44,2400,1.1679724,1.4983793,1,2.120464999,0.909393572,0.569581855,0.582634627
25,alpha_2.0_temp_0.5,2,0.5,44,2500,1.1589521,1.4971006,1,2.113681413,0.908347939,0.567166707,0.577605844
26,alpha_2.0_temp_0.5,2,0.5,44,2600,1.1462724,1.4970449,1,2.118824942,0.908239231,0.567071228,0.575046412
27,alpha_2.0_temp_0.5,2,0.5,44,2700,1.1400081,1.4985392,1,2.112407249,0.906930694,0.566721962,0.577439619
28,alpha_2.0_temp_0.5,2,0.5,44,2800,1.129853,1.5023694,1,2.141186997,0.903299832,0.57406089,0.584327178
29,alpha_2.0_temp_0.5,2,0.5,44,2900,1.1198528,1.4945371,1,2.120262691,0.902745963,0.57035569,0.574542557
30,alpha_2.0_temp_0.5,2,0.5,44,3000,1.1113176,1.4931543,1,2.145697296,0.900519779,0.573413525,0.585995142
31,alpha_2.0_temp_0.5,2,0.5,44,3100,1.1024275,1.4947608,1,2.141494522,0.899130409,0.573295542,0.581106808
32,alpha_2.0_temp_0.5,2,0.5,44,3200,1.0930357,1.4984368,1,2.143909071,0.901071913,0.575646545,0.592775817
33,alpha_2.0_temp_0.5,2,0.5,44,3300,1.0844971,1.5079038,1,2.142765823,0.900561711,0.571906882,0.589776462
34,alpha_2.0_temp_0.5,2,0.5,44,3400,1.0734183,1.5123844,1,2.141183795,0.898419959,0.574203838,0.593201544
35,alpha_2.0_temp_0.5,2,0.5,44,3500,1.0683808,1.5209914,1,2.153905867,0.901233519,0.578558026,0.582905414
36,alpha_2.0_temp_0.5,2,0.5,44,3600,1.0568501,1.5221221,1,2.145798589,0.899204774,0.575194095,0.597894073
37,alpha_2.0_temp_0.5,2,0.5,44,3700,1.0507158,1.5242653,1,2.130801633,0.895039536,0.571444249,0.580669716
38,alpha_2.0_temp_0.5,2,0.5,44,3800,1.0389681,1.5293882,1,2.139692303,0.896340673,0.572801063,0.588665473
39,alpha_2.0_temp_0.5,2,0.5,44,3900,1.0302217,1.5316535,1,2.143928424,0.894584144,0.576539076,0.588262193
40,alpha_2.0_temp_0.5,2,0.5,44,4000,1.0200981,1.5348558,1,2.1488387,0.894440935,0.578854565,0.593127353
41,alpha_2.0_temp_0.5,2,0.5,44,4100,1.012026,1.5344975,1,2.146990624,0.893162519,0.576281891,0.591863389
42,alpha_2.0_temp_0.5,2,0.5,44,4200,1.0029507,1.5440339,1,2.143957861,0.893280029,0.57531402,0.593543857
43,alpha_2.0_temp_0.5,2,0.5,44,4300,0.99430174,1.5521736,1,2.144644869,0.893025278,0.577574346,0.601514324
44,alpha_2.0_temp_0.5,2,0.5,44,4400,0.98517567,1.5531055,1,2.137916313,0.891771849,0.574762006,0.598718963
45,alpha_2.0_temp_0.5,2,0.5,44,4500,0.97535896,1.5634288,1,2.140947784,0.89132201,0.576555018,0.596712867
46,alpha_2.0_temp_0.5,2,0.5,44,4600,0.96751976,1.5616852,1,2.143848516,0.891673128,0.576069718,0.589899099
47,alpha_2.0_temp_0.5,2,0.5,44,4700,0.9583812,1.5729282,1,2.136184861,0.89168221,0.577821565,0.592340234
48,alpha_2.0_temp_0.5,2,0.5,44,4800,0.94888735,1.5798265,1,2.140147841,0.892091262,0.577591508,0.600588691
49,alpha_2.0_temp_0.5,2,0.5,44,4900,0.94047445,1.5757191,1,2.142327261,0.890899691,0.577272941,0.600365599
50,alpha_2.0_temp_0.5,2,0.5,44,4999,0.9314717,1.5862457,1,2.133821615,0.890369383,0.574784679,0.596489898
51,alpha_2.0_temp_0.5,2,0.5,45,0,4.339724,4.33433,1,1.499313456,0.750601397,0.277855875,0.3756656
52,alpha_2.0_temp_0.5,2,0.5,45,100,2.4376721,2.4544356,0.998666667,2.17552181,0.947185307,0.651682084,0.677250777
53,alpha_2.0_temp_0.5,2,0.5,45,200,2.1933682,2.2338223,0.999916667,2.193254285,0.94635356,0.657582005,0.680115399
54,alpha_2.0_temp_0.5,2,0.5,45,300,1.967698,2.0539017,0.978458333,2.234038648,0.94393441,0.678068209,0.694323813
55,alpha_2.0_temp_0.5,2,0.5,45,400,1.7714326,1.9074786,0.999958333,2.236851413,0.942807891,0.680485456,0.700081142
56,alpha_2.0_temp_0.5,2,0.5,45,500,1.6365241,1.7969226,1,2.270192762,0.939983509,0.688480873,0.712385231
57,alpha_2.0_temp_0.5,2,0.5,45,600,1.5537364,1.7376457,0.999916667,2.279461162,0.936950341,0.68959805,0.715145278
58,alpha_2.0_temp_0.5,2,0.5,45,700,1.4924353,1.6810224,0.999916667,2.284318703,0.935443231,0.690840629,0.720837735
59,alpha_2.0_temp_0.5,2,0.5,45,800,1.4474555,1.6440012,0.999833333,2.278460022,0.930064054,0.683924859,0.707798248
60,alpha_2.0_temp_0.5,2,0.5,45,900,1.4095727,1.6121137,1,2.295844947,0.928619484,0.686976451,0.725326754
61,alpha_2.0_temp_0.5,2,0.5,45,1000,1.3791162,1.5907292,1,2.275336474,0.923974252,0.680866937,0.703123096
62,alpha_2.0_temp_0.5,2,0.5,45,1100,1.352729,1.5658938,0.999958333,2.278870845,0.920001062,0.682477689,0.714124265
63,alpha_2.0_temp_0.5,2,0.5,45,1200,1.3293718,1.5590285,1,2.267141304,0.915814841,0.676547804,0.707307473
64,alpha_2.0_temp_0.5,2,0.5,45,1300,1.3110288,1.545404,0.999083333,2.258320144,0.913184557,0.674425946,0.704223469
65,alpha_2.0_temp_0.5,2,0.5,45,1400,1.2920427,1.5304214,0.996583333,2.256900627,0.909556965,0.674110199,0.702050147
66,alpha_2.0_temp_0.5,2,0.5,45,1500,1.2793863,1.5348861,0.999875,2.25525597,0.907413942,0.67481162,0.709786595
67,alpha_2.0_temp_0.5,2,0.5,45,1600,1.2647195,1.5220572,0.986083333,2.254906049,0.905639385,0.673136209,0.711087235
68,alpha_2.0_temp_0.5,2,0.5,45,1700,1.2471018,1.5198325,0.97975,2.248580475,0.903766798,0.672175732,0.711201353
