Column1,model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
0,alpha_0.5_temp_0.5,0.5,0.5,42,0,4.2585244,4.2597027,1,1,0.224230432,0,0.074682021
1,alpha_0.5_temp_0.5,0.5,0.5,42,100,2.4430692,2.4556553,1,1,0.406174236,0,0.262726814
2,alpha_0.5_temp_0.5,0.5,0.5,42,200,2.2460077,2.2761927,1,1,0.421529087,0,0.276354015
3,alpha_0.5_temp_0.5,0.5,0.5,42,300,1.987052,2.0671449,1,1,0.465999347,0,0.314094466
4,alpha_0.5_temp_0.5,0.5,0.5,42,400,1.7822692,1.9188086,1,1,0.498256594,0,0.31610416
5,alpha_0.5_temp_0.5,0.5,0.5,42,500,1.6446224,1.8110882,1,1,0.516349433,0,0.315163327
6,alpha_0.5_temp_0.5,0.5,0.5,42,600,1.5536526,1.7311352,1,1,0.530115618,0,0.303338193
7,alpha_0.5_temp_0.5,0.5,0.5,42,700,1.4886761,1.6873912,1,1,0.53935496,0,0.298622258
8,alpha_0.5_temp_0.5,0.5,0.5,42,800,1.438874,1.6479967,1,1,0.548799129,0,0.294508268
9,alpha_0.5_temp_0.5,0.5,0.5,42,900,1.3981078,1.6115774,1,1,0.554628652,0,0.303213209
10,alpha_0.5_temp_0.5,0.5,0.5,42,1000,1.3695173,1.596866,1,1,0.560575315,0,0.290170502
11,alpha_0.5_temp_0.5,0.5,0.5,42,1100,1.3374852,1.57788,1,1,0.564903696,0,0.286739127
12,alpha_0.5_temp_0.5,0.5,0.5,42,1200,1.3121178,1.550704,1,1,0.567108139,0,0.281701062
13,alpha_0.5_temp_0.5,0.5,0.5,42,1300,1.2915874,1.5555842,1,1,0.5700133,0,0.271390663
14,alpha_0.5_temp_0.5,0.5,0.5,42,1400,1.2749542,1.5385616,1,1,0.573346511,0,0.272765824
15,alpha_0.5_temp_0.5,0.5,0.5,42,1500,1.2557175,1.5236763,1,1,0.575930107,0,0.27156878
16,alpha_0.5_temp_0.5,0.5,0.5,42,1600,1.2394209,1.5201161,1,1,0.578183317,0,0.279155895
17,alpha_0.5_temp_0.5,0.5,0.5,42,1700,1.2285725,1.5207855,1,1,0.57728779,0,0.264408873
18,alpha_0.5_temp_0.5,0.5,0.5,42,1800,1.2128928,1.5149537,1,1,0.580054637,0,0.260528715
19,alpha_0.5_temp_0.5,0.5,0.5,42,1900,1.1996319,1.5138065,1,1,0.581040715,0,0.263074116
20,alpha_0.5_temp_0.5,0.5,0.5,42,2000,1.1848961,1.5051038,1,1,0.581749299,0,0.255509898
21,alpha_0.5_temp_0.5,0.5,0.5,42,2100,1.1719009,1.5002072,1,1,0.584678569,0,0.262719805
