Column1,model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
346,alpha_2.5_temp_0.5,2.5,0.5,42,4000,1.0442961,1.5056638,1,2.005260271,0.955335308,0.575358857,0.574477832
347,alpha_2.5_temp_0.5,2.5,0.5,42,4100,1.0383534,1.514767,1,2.023801051,0.956268927,0.579168466,0.582040081
348,alpha_2.5_temp_0.5,2.5,0.5,42,4200,1.0372261,1.516873,1,2.018162315,0.957405007,0.578376847,0.576881371
349,alpha_2.5_temp_0.5,2.5,0.5,42,4300,1.0224215,1.517447,1,2.030685174,0.955121101,0.582718885,0.585150265
350,alpha_2.5_temp_0.5,2.5,0.5,42,4400,1.0115058,1.5254599,1,2.02512097,0.954536449,0.58047347,0.584404613
351,alpha_2.5_temp_0.5,2.5,0.5,42,4500,1.007003,1.531255,1,2.020747986,0.954891237,0.579475867,0.579223839
352,alpha_2.5_temp_0.5,2.5,0.5,42,4600,0.9959247,1.5269389,1,2.022861857,0.953692093,0.579143133,0.5807779
353,alpha_2.5_temp_0.5,2.5,0.5,42,4700,0.99024665,1.5415097,1,2.028333478,0.956358946,0.580797412,0.589234623
354,alpha_2.5_temp_0.5,2.5,0.5,42,4800,0.9789536,1.5395107,1,2.023302503,0.95223278,0.578972818,0.582011098
355,alpha_2.5_temp_0.5,2.5,0.5,42,4900,0.972868,1.5473228,1,2.030285539,0.954535194,0.580707702,0.586150232
356,alpha_2.5_temp_0.5,2.5,0.5,42,4999,0.96361965,1.551532,1,2.027282905,0.952678209,0.579899336,0.580604487
0,alpha_2.5_temp_0.5,2.5,0.5,43,0,4.344701,4.345321,1,1.590703475,0.82916534,0.320188543,0.403278805
1,alpha_2.5_temp_0.5,2.5,0.5,43,100,2.447819,2.4691148,1,2.198942751,0.97452485,0.631423572,0.645519958
2,alpha_2.5_temp_0.5,2.5,0.5,43,200,2.2367346,2.270552,1,2.165478802,0.97655008,0.635918773,0.643527548
3,alpha_2.5_temp_0.5,2.5,0.5,43,300,2.005745,2.0868866,1,2.168576788,0.97835637,0.637522219,0.644501606
4,alpha_2.5_temp_0.5,2.5,0.5,43,400,1.8000786,1.9329872,1,2.240145562,0.979254825,0.659983268,0.654158113
5,alpha_2.5_temp_0.5,2.5,0.5,43,500,1.6577684,1.8211538,1,2.268974764,0.980312949,0.667235779,0.656800865
6,alpha_2.5_temp_0.5,2.5,0.5,43,600,1.570387,1.7477931,1,2.302454534,0.98069935,0.676443819,0.662509254
7,alpha_2.5_temp_0.5,2.5,0.5,43,700,1.5028435,1.6917574,1,2.342263598,0.977948833,0.688755523,0.673628966
8,alpha_2.5_temp_0.5,2.5,0.5,43,800,1.4552387,1.6563355,1,2.351145821,0.976504062,0.691232558,0.678403975
9,alpha_2.5_temp_0.5,2.5,0.5,43,900,1.4153969,1.6216539,1,2.375234069,0.976795204,0.696876336,0.678639963
10,alpha_2.5_temp_0.5,2.5,0.5,43,1000,1.3817794,1.5980096,1,2.411639074,0.973574542,0.708726422,0.702503916
11,alpha_2.5_temp_0.5,2.5,0.5,43,1100,1.3541391,1.57851,1,2.409069017,0.972354396,0.708331249,0.699241652
12,alpha_2.5_temp_0.5,2.5,0.5,43,1200,1.3314313,1.5647423,1,2.407888883,0.971343051,0.708219261,0.695997315
13,alpha_2.5_temp_0.5,2.5,0.5,43,1300,1.310711,1.548127,1,2.428794568,0.96887854,0.714769059,0.703178958
14,alpha_2.5_temp_0.5,2.5,0.5,43,1400,1.2927027,1.5395695,1,2.464394812,0.969194386,0.726893586,0.735301572
15,alpha_2.5_temp_0.5,2.5,0.5,43,1500,1.2738984,1.5282102,1,2.445987765,0.965543976,0.720824881,0.716629292
16,alpha_2.5_temp_0.5,2.5,0.5,43,1600,1.2623993,1.5329695,1,2.451799064,0.963198223,0.723888478,0.731409776
17,alpha_2.5_temp_0.5,2.5,0.5,43,1700,1.2481437,1.5203452,1,2.448485561,0.963895076,0.719958823,0.71774236
18,alpha_2.5_temp_0.5,2.5,0.5,43,1800,1.2340337,1.5064479,1,2.45905194,0.960214371,0.725920901,0.728328903
19,alpha_2.5_temp_0.5,2.5,0.5,43,1900,1.2237383,1.5080627,1,2.462624779,0.961395159,0.727388998,0.739860269
20,alpha_2.5_temp_0.5,2.5,0.5,43,2000,1.2110351,1.5091939,1,2.458201181,0.956196547,0.728424061,0.720813865
21,alpha_2.5_temp_0.5,2.5,0.5,43,2100,1.2003864,1.5028995,1,2.45833348,0.955357807,0.728345977,0.726456965
22,alpha_2.5_temp_0.5,2.5,0.5,43,2200,1.1880037,1.5033784,1,2.464136062,0.953993719,0.731134582,0.727649355
23,alpha_2.5_temp_0.5,2.5,0.5,43,2300,1.1792285,1.4963814,1,2.459671007,0.954065331,0.728868304,0.729097155
24,alpha_2.5_temp_0.5,2.5,0.5,43,2400,1.1682352,1.4947917,1,2.46879143,0.957168868,0.734164035,0.75068062
25,alpha_2.5_temp_0.5,2.5,0.5,43,2500,1.1572646,1.501462,1,2.452661891,0.949266985,0.727030827,0.739254255
26,alpha_2.5_temp_0.5,2.5,0.5,43,2600,1.149032,1.5031214,1,2.474291353,0.952539081,0.733852905,0.758934149
27,alpha_2.5_temp_0.5,2.5,0.5,43,2700,1.1392988,1.5001099,1,2.469600046,0.951250904,0.731979369,0.751383912
28,alpha_2.5_temp_0.5,2.5,0.5,43,2800,1.1322439,1.5058726,1,2.474953824,0.949057898,0.735453121,0.748322803
29,alpha_2.5_temp_0.5,2.5,0.5,43,2900,1.1237351,1.5036305,1,2.489262979,0.950430976,0.739271004,0.75859985
30,alpha_2.5_temp_0.5,2.5,0.5,43,3000,1.1115811,1.5000197,1,2.509180588,0.946730951,0.747751516,0.768073481
31,alpha_2.5_temp_0.5,2.5,0.5,43,3100,1.1041472,1.5096942,1,2.517910097,0.94661945,0.750786737,0.778516761
